para,para_50k,para_100k,para_200k,para_500k
state1,1.3407781066356823,1.6219788837423292,1.1781382426475413,0.5766244699223221
state2,1.3291133490826577,1.6484255193613302,2.259950464018983,1.526518607541252
state3,4.1561043241158935e-9,2.7450729649199233e-11,7.349844659612968e-12,1.4240899765391093e-12
state4,1.4613996072269433,1.673410894757222,2.0028884152895743,1.1893017007264108
state5,0.5235888559735009,0.6421701896534568,1.1333853366243634,0.4188071718499218
state6,0.3962647465304839,0.05914041913113579,7.349844659612968e-12,1.4240899765391093e-12
state7,4.1561043241158935e-9,2.7450729649199233e-11,7.349844659612968e-12,1.4240899765391093e-12
state8,1.1470179871678867,1.5393972716596191,2.3285712433186374,1.2285944246703016
state9,4.1561043241158935e-9,2.7450729649199233e-11,7.349844659612968e-12,1.4240899765391093e-12
SV,4.1561043241158935e-9,2.7450729649199233e-11,7.349844659612968e-12,1.4240899765391093e-12
SNP_para1,1.186288226260051,1.0213439055238953,1.027258085005252,1.5673724552950377
SNP_para2,0.08696060132133938,0.08489383611874537,0.09470036382406907,0.09054720517223036
IR_para1,0.4308604870758441,0.42962627285357335,0.5258433446040266,0.3956780168687069
IR_para2,83.79787180758183,88207.18390827988,127686.63544891597,299934.30500065093
IR_para3,6.090687233410536,9.646168087372109,8.910463509803764,9.705454568888152
